Codigo Ditrator,Codigo Casa Dos Rolamentos,Codigo Romar Mann,Codigo Indagril,Codigo Primus,Codigo Agromann,Codigo Tidy,Nome Fantasia,Razão Social,Rota,Cidade,Estado,Empresas Trabalhadas
,,439,2048,,,10194,,DANIEL CRESTANI - EPP,Rota D - Paraná,Canoinhas,SC,Romar Mann - Indagril
1470401,,,,,,10015,,DANIEL WICKERT 07864570909,Rota 2 - São Miguel,Sul Brasil,SC,Ditrator
312102,,,,,,10610,,DAROS E CASTELLER COMERCIO DE PECAS AGRICOLAS LTDA,Rota C - Litoral Sul,Turvo,SC,Ditrator
,10401,,,,,11022,,DB REBOBINAGEM DE MOTORES LTDA,Rota C - Litoral Sul,Tubarão,SC,Casa Dos Rolamentos
157401,,144,,,,10166,,DE BONA COMERCIO DE PECAS AGRICOLAS LTDA. EPP - EPP,Rota 5 - Parana 2,Pato Branco,PR,Ditrator - Romar Mann
991401,,,,,,11760,,DEDOMENICO & FERREIRA LTDA,Rota 5 - Parana 2,Palmas,PR,
389403,,,,,,10586,,DEISE SAMARA ROOS,Rota A - Oeste,Peritiba,SC,Ditrator
326401,,,,,,10449,,DEOMAR FRANCESCHINA,Rota A - Oeste,Concórdia,SC,Ditrator
1121701,,,,,,10634,,DESBRAVADOR CONSTRUCOES LTDA,Rota 0 - Chapecó,Chapecó,SC,Ditrator
947001,,,,,,10679,,DHIONATAN ALBERTI,Rota 0 - Chapecó,Chapecó,SC,Ditrator
,10106,,,,,10870,,DIDIO SERVICOS INDUST DE USINAGEM LTDA,Rota A - Oeste,Capinzal,SC,Casa Dos Rolamentos
,10107,,,,,10917,,DIEGO WOZNIAK 09245680975,Rota 5 - Parana 2,Dois Vizinhos,PR,Casa Dos Rolamentos
253501,,,,,,10530,,DIERLEY ANDREY RODRIGUES,Rota 0 - Chapecó,Chapecó,SC,Ditrator
,,,,,,11064,,DIFEMAX DIST DE FERRAMENTAS E MAQ,Rota C - Litoral Sul,Joaçaba,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
312201,,,,,,10014,,DIGAL TRATORES LTDA,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator
1226201,,,,,,10686,,DILVAR JOSE CERUTTI,Rota 2 - São Miguel,Serra Alta,SC,Ditrator
610802,,,,,,10017,,DIMOTOR COMERCIAL DE PECAS PARA MOTORES LTDA,Rota 0 - Chapecó,Chapecó,SC,Ditrator
,,4347,,,,11770,,DIMOTOR COMERCIAL DE PECAS PARA MOTORES LTDA,Rota D - Paraná,Canoas,RS,
,,4338,,,,11769,,DIMOTOR COMERCIAL DE PECAS PARA MOTORES LTDA,Rota D - Paraná,Pinhais,PR,
,10108,,,,,10931,,DIOMAQ MAQUINAS E EQUIPAMENTOS LTDA,Rota D - Paraná,Mafra,SC,Casa Dos Rolamentos
,,,,,,11065,,DIPAVEL DISTRIBUIDORA DE PECAS E ACESSÓRIOS PARA VEICULOS,Rota B - Litoral Norte,Otacílio Costa,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
231801,,,,,,10524,,DIRCEU LUIZ PARIZOTTO,Rota A - Oeste,Jaborá,SC,Ditrator
1165301,,,,,,10649,,DIRCEU MARCOS LOCATELLI 08725285963,Rota 4 - Parana 1,Perola D'Oeste,PR,Ditrator
,10109,,,,,10840,,DISTRIBUIDORA DE BATERIAS PIONEIRO LTDA,Rota A - Oeste,Catanduvas,SC,Casa Dos Rolamentos
,,,,,,11066,,DISTRIBUIDORA DE PECAS E ACESSORIOS,Rota A - Oeste,Capinzal,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,1889,,,,10234,,DJALMA ANTONIO KLOSOWSKI 06044763960,Rota B - Litoral Norte,Massaranduba,SC,Romar Mann
1305001,10110,,,,,10734,,DJOIHANDERSON NICODEM 06722575993,Rota 3 - São Lourenço,Saltinho,SC,Ditrator - Casa Dos Rolamentos
,10111,,,,,10110,,DL EQUIPAMENTOS AGROPECUARIOS EIRELI - ME,Rota 4 - Parana 1,Francisco Beltrão,PR,Casa Dos Rolamentos
2401,10112,,,,,10000,,DONAL DETTENBORN EPP,Rota 1 - Itapiranga,Iporã Do Oeste,SC,Ditrator - Casa Dos Rolamentos
1483101,,,,,,10969,,DR ELETRO DIESEL LTDA,Rota 0 - Chapecó,Chapecó,SC,Ditrator
1475301,,,,,,10968,,DRONEAGRO COMERCIO DE PECAS E MANUTENCAO AGRICOLA LTDA,Rota A - Oeste,Xanxerê,SC,Ditrator
,,,,,,11067,,DYNAMICA SOLUÇOES  ME,Rota B - Litoral Norte,Otacílio Costa,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11424,,Dalpecas,Rota D - Paraná,União da Vitória,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11268,,Das,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11643,,Db Rebobinagem,Rota C - Litoral Sul,Tubarão,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11573,,De Paula Assistencia E Pecas,Rota A - Oeste,Caçador,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11310,,Deboni Correias,Rota 2 - São Miguel,Pinhalzinho,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11286,,Dielo Sorvetes,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11264,,Dimaq,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11433,,Diomaq - Stihl - Ituporanga,Rota B - Litoral Norte,Ituporanga,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11502,,Disapar,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11355,,Disman,Rota C - Litoral Sul,Lages,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11147,,Dociatti Servicos  Me,Rota A - Oeste,Catanduvas,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11658,,Dodo Dustribuidora,Rota C - Litoral Sul,Orleans,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11427,,Drc Pecas E Implementos,Rota D - Paraná,Papanduva,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11626,,Dresch - Valtra - São Joaquim,Rota C - Litoral Sul,São Joaquim,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11409,,Dresch - Valtra - Videira,Rota A - Oeste,Videira,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11607,,Duplamac,Rota C - Litoral Sul,Braço do Norte,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
526901,,,,,,10005,,E R VILACA PECAS AGRICOLAS,Rota 5 - Parana 2,Mangueirinha,PR,Ditrator
1602201,,,,,,11748,,E S PECAS AGRICOLAS LTDA,Rota 5 - Parana 2,Pato Branco,PR,
,,,,,,11199,,E.M. Spohr  -  Agrosul Peças Agricolas,Rota 4 - Parana 1,Santa Izabel do Oeste,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
1291601,,,,,,10727,,ECO CHAPECO LTDA,Rota 0 - Chapecó,Chapecó,SC,Ditrator
1150101,,,,,,10645,,EDERSON LEANDRO RITTER 03336013941,Rota 2 - São Miguel,São Miguel do Oeste,SC,Ditrator
,,6179,,,,11713,,EDERSON LUCAS CARDOSO - MEI,Rota D - Paraná,Mafra,SC,Romar Mann
824701,,,,,,10582,,EDERSON TORIANI 04647018997,Rota 3 - São Lourenço,Marema,SC,Ditrator
299001,,,,,,10544,,EDINEI MENEGAT CORDAZZO,Rota 3 - São Lourenço,Irati,SC,Ditrator
,10113,,,,,10862,,EDNILSON ZANCHETTA ME,Rota A - Oeste,Vargem Bonita,SC,Casa Dos Rolamentos
433301,,,,,,10560,,EDSON BELLE,Rota 3 - São Lourenço,União Do Oeste,SC,Ditrator
,10114,,,,,10935,,EDSON DE QUEIROZ DOS SANTOS SILVESTRI ME,Rota 5 - Parana 2,Pato Branco,PR,Casa Dos Rolamentos
1249301,,,,,,10708,,EDSON FERNANDO LOCH - EIRELI,Rota 5 - Parana 2,São Jorge d'Oeste,PR,Ditrator
34901,10115,1719,-696,,,10290,,EDSON LUIZ MULLER MESADRI - ME,Rota 3 - São Lourenço,Abelardo Luz,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril
932201,10116,,,,,10123,,EDSON LUIZ SCHWAAB & CIA LTDA   ME,Rota 3 - São Lourenço,Anchieta,SC,Ditrator - Casa Dos Rolamentos
,10117,,,,,10067,,EDSON PEÇAS AGRICOLAS LTDA,Rota B - Litoral Norte,Taió,SC,Casa Dos Rolamentos
,,2195,,,,10178,,EDSON SCHEFFER - MAQUINAS AGRICOLAS - EIRELI,Rota 3 - São Lourenço,São Domingos,SC,Romar Mann
1297901,,,,,,10730,,EDUARDO FORNER EIRELI,Rota A - Oeste,Concórdia,SC,Ditrator
,,,,,,11068,,EDUARDO GABRIEL BIAVA DE MENEZES 09456822982,Rota C - Litoral Sul,Arroio Trinta,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
279501,,,,,,10540,,EDUARDO MOREIRA ANTUNES,Rota 0 - Chapecó,Chapecó,SC,Ditrator
1069201,,,,,,10759,,ELCIO BELLIN DA SILVA,Rota 4 - Parana 1,Francisco Beltrão,PR,Ditrator
,10118,,,,,10111,,ELETRICA MALLMANN LTDA,Rota 1 - Itapiranga,Mondaí,SC,Casa Dos Rolamentos
,10119,,,,,10045,,ELETRICA XEPA LTDA,Rota D - Paraná,Rio Negro,PR,Casa Dos Rolamentos
,10120,,,,,10056,,ELETRO BASCHIROTO LTDA,Rota C - Litoral Sul,Braço Do Norte,SC,Casa Dos Rolamentos
,10121,,,,,10932,,ELETRO COMERCIAL MW LTDA,Rota A - Oeste,Caçador,SC,Casa Dos Rolamentos
,10122,,,,,10073,,ELETRO FAEDO LTDA,Rota A - Oeste,Curitibanos,SC,Casa Dos Rolamentos
,10123,,,,,10861,,ELETRO MOTORES CAPISTRANO LTDA,Rota C - Litoral Sul,Lages,SC,Casa Dos Rolamentos
,10124,,,,,10938,,ELETROMOTORES IPUMIRIM LTDA,Rota A - Oeste,Ipumirim,SC,Casa Dos Rolamentos
,10125,,,,,10903,,ELETROTECNICA BALARDIN LTDA - CONDUPAR,Rota A - Oeste,Xanxerê,SC,Casa Dos Rolamentos
282401,,,3462,,,10365,,ELI CARLAS DA SILVA SOAVE,Rota A - Oeste,Xanxerê,SC,Ditrator - Indagril
921301,,,,,,10404,,ELIO GROTH TORNEARIA,Rota 1 - Itapiranga,Itapiranga,SC,Ditrator
218002,,,,,,10465,,ELISANGELA SCHVIRCK DA SILVA,Rota 5 - Parana 2,Pato Branco,PR,Ditrator
,10126,,,,,10791,,ELLO PAINES DE MADEIRA LTDA,Rota A - Oeste,Ponte Serrada,SC,Casa Dos Rolamentos
,10127,,,,,10851,,ELMO BARON,Rota 1 - Itapiranga,Palmitos,SC,Casa Dos Rolamentos
1542001,,,,,,11750,,ELOI DALLA VECCHIA & CIA LTDA,Rota A - Oeste,Cordilheira Alta,SC,
,10128,,,,,10858,,ELOILSE JUSTINA BITENCOURT TREVISAN,Rota A - Oeste,Catanduvas,SC,Casa Dos Rolamentos
121701,,,,,,10619,,ELOIR PAZUCH - ME,Rota 4 - Parana 1,Bom Jesus Do Sul,PR,Ditrator
808301,,,,,,10514,,ELTON SCARPARO,Rota 1 - Itapiranga,Águas de Chapecó,SC,Ditrator
243601,,,,,,10527,,EMANUEL SCARATTI,Rota 2 - São Miguel,Nova Erechim,SC,Ditrator
,10129,,,,,10883,,EMBALAVAC MANUTENÇÃO E PEÇAS LTDA.,Rota 4 - Parana 1,Goioerê,PR,Casa Dos Rolamentos
1446301,,,,,,10761,,EMERSON L WOLHUMUTH LTDA,Rota 4 - Parana 1,Realeza,PR,Ditrator
,,579,184,,,10279,,EQUAGRIL EQUIPAMENTOS AGRICOLAS LTDA. - Canoinhas,Rota D - Paraná,Canoinhas,SC,Romar Mann - Indagril
,,1823,483,,,10286,,EQUAGRIL EQUIPAMENTOS AGRICOLAS LTDA. - Mafra,Rota D - Paraná,Mafra,SC,Romar Mann - Indagril
466702,10130,2167,2861,,,10193,,EQUI PECAS COMERCIO DE PECAS E MANUTENCAO AGRICOLA LTDA - EP,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos - Romar Mann
466701,10386,,,,,10381,,EQUITER EQUIPAMENTOS E MANUTENCAO AGRICOLA LTDA ME,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos
,10131,,,,,10961,,ERFONN MAQUINAS LTDA,Rota C - Litoral Sul,Braço Do Norte,SC,Casa Dos Rolamentos
,10132,,,,,10785,,ERNESTO LUIZ GAGLIOTTO & CIA LTDA,Rota 4 - Parana 1,Francisco Beltrão,PR,Casa Dos Rolamentos
1195701,,,,,,10669,,ESTER HOSS,Rota 1 - Itapiranga,São Carlos,SC,Ditrator
,,,,,,11069,,ESTRUTURAL ZORTEA IND E COM,Rota C - Litoral Sul,Campos Novos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,1390,,,10298,,EVAPORCLIMA PLACAS EVAPORATIVA,Rota 2 - São Miguel,Iraceminha,SC,Indagril
,,,,,,11070,,EXATIDAO COMERCIO E REPRESENTACOES,Rota C - Litoral Sul,Lages,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
1136401,,,,,,10765,,EXPRESSO SAO MIGUEL LTDA,Rota 0 - Chapecó,Chapecó,SC,Ditrator
,,,,,,11071,,EZEQUIEL JUNIOR VARIEDADES  EPP,Rota C - Litoral Sul,Correia Pinto,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11710,,Eb Fix,Rota C - Litoral Sul,Braço do Norte,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11379,,Ec Tratores E Implementos,Rota D - Paraná,Irineópolis,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11419,,Edinei Menegat Cordazzo,Rota D - Paraná,Irati,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11635,,Edson Pecas Agricolas,Rota B - Litoral Norte,Taió,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11566,,Eletrica Irani,Rota D - Paraná,Canoinhas,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11644,,Eletro Baschiroto,Rota C - Litoral Sul,Braço do Norte,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11559,,Eletro Faedo,Rota A - Oeste,Curitibanos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11235,,Eletro Mecanica Vageao,Rota A - Oeste,Vargeão,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11368,,Eletro Mecanica Vargeao,Rota A - Oeste,Vargeão,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11388,,Eletro Motores  Klock,Rota C - Litoral Sul,Lages,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11153,,Eletro Motores Concordia,Rota A - Oeste,Concórdia,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11558,,Eletro Motores Freiberger,Rota A - Oeste,Curitibanos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11373,,Eletro Motores Grieger,Rota 5 - Parana 2,Coronel Vivida,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11155,,Eletro Motores Nela,Rota A - Oeste,Concórdia,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11354,,Eletro Motores Niski,Rota C - Litoral Sul,Lages,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11353,,Eletro Motores Rio Bonito,Rota C - Litoral Sul,Lages,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11385,,Eletro Motores Tangará,Rota C - Litoral Sul,Tangará,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11317,,Eletro Muller,Rota 2 - São Miguel,Pinhalzinho,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11391,,Eletro Real,Rota 5 - Parana 2,Pato Branco,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11595,,Eletromotores Maziero,Rota A - Oeste,Catanduvas,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11212,,Eletromotores Sao Joao,Rota 1 - Itapiranga,São João do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11506,,Eletrosmaq,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11402,,Embraco - Itaiopolis,Rota D - Paraná,Itaiópolis,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11184,,Emerson Peças,Rota 5 - Parana 2,Itapejara d'Oeste,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11346,,Empimaq,Rota B - Litoral Norte,Ibirama,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11475,,Emprerio,Rota A - Oeste,Ouro,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11509,,Enebras,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11491,,Engeaco,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11684,,Equagril - New Holland - Sao Mateus Do Sul,Rota D - Paraná,São Mateus do Sul,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11480,,Equiplanalto,Rota D - Paraná,Canoinhas,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11244,,Equitec Industrial,Rota A - Oeste,Xanxerê,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11585,,Erfonn Maquinas,Rota C - Litoral Sul,Braço do Norte,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11146,,Ervateira Catanduvas,Rota A - Oeste,Catanduvas,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11482,,Estrela Guia Materiais Eletricos,Rota 4 - Parana 1,Francisco Beltrão,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11338,,Eurofrig,Rota 1 - Itapiranga,Iporã do Oeste,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11072,,F&F MONTAGENS,Rota C - Litoral Sul,Treze Tílias,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
610201,,2325,,,,10247,,F. DALMAGRO & CIA LTDA - ME,Rota 4 - Parana 1,Capanema,PR,Ditrator - Romar Mann
,10133,,,,,10097,,F.& F DA SILVA MANUTENCAO INDUSTRIAL LTDA ME,Rota 5 - Parana 2,Chopinzinho,PR,Casa Dos Rolamentos
802901,,,,,,10509,,FABIO HILLESHEIM,Rota 1 - Itapiranga,Iporã Do Oeste,SC,Ditrator
,10134,,,,,10921,,FABIO PAZINATO 80687385172,Rota 3 - São Lourenço,Ipuaçu,SC,Casa Dos Rolamentos
40201,,,,,,10410,,FABIO VEIT 05194337930,Rota 1 - Itapiranga,Mondai,SC,Ditrator
,,,,,,11073,,FACCIN AUTO PECAS,Rota A - Oeste,Ouro,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11074,,FACCIN COMERCIO DE TRATORES E PECAS  - ME,Rota A - Oeste,Capinzal,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10135,,,,,10855,,FAISCA COM DE MATERIAIS ELETRICOS LTDA,Rota A - Oeste,Videira,SC,Casa Dos Rolamentos
1433501,,,,,,10751,,FAN - COMERCIO DE PECAS E IMPLEMENTOS RODOVIARIOS E SERVICOS EIRELI,Rota 0 - Chapecó,Chapecó,SC,Ditrator
932801,,,,,,10600,,FAO & GALINA LTDA,Rota 2 - São Miguel,Cunha Porã,SC,Ditrator
,,3987,,,,10242,,FAPEVA COMERCIO E TORNEARIA MECANICA LTDA,Rota 2 - São Miguel,Cunha Porã,SC,Romar Mann
,10136,,,,,10927,,FASMEN MANUTENCAO INDUSTRIAL LTDA,Rota D - Paraná,Rio Negro,PR,Casa Dos Rolamentos
,,4878,,,,10261,,FATIMA REPRESENTACOES COMERCIAIS LTDA,Rota B - Litoral Norte,Rio Do Campo,SC,Romar Mann
517001,,,,,,10481,,FBF CONSTRUTORA EIRELI,Rota A - Oeste,Xanxerê,SC,Ditrator
,,,,,,11213,,FECOAGRO Cooperativa A1 Cooper Palmitos,Rota 1 - Itapiranga,Palmitos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11075,,FELIPPE CESA 04920516908,Rota C - Litoral Sul,Luzerna,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
1268301,,,,,,10712,,FERNANDO HENRIQUE LOCATELLI 05714092961,Rota 4 - Parana 1,Perola D'Oeste,PR,Ditrator
930001,,,,,,10505,,FERNANDO KOCH 06743750921,Rota 2 - São Miguel,Saudades,SC,Ditrator
,10137,,,,,10109,,FERRAGEM PANDINI LTDA - ME,Rota 3 - São Lourenço,São Lourenço do Oeste,SC,Casa Dos Rolamentos
1208901,,,,,,10676,,FERSAN COMERCIO DE AUTOPECAS E TRANSPORTES LTDA,Rota 1 - Itapiranga,São Carlos,SC,Ditrator
229901,10138,,,,,10777,,FERTICEL IND DE FERTILIZANTES LTDA MATRI,Rota 1 - Itapiranga,Guatambu,SC,Ditrator - Casa Dos Rolamentos
,,,,,,11076,,FIPECAS COM DE PCS E FERRAMEMTAS,Rota A - Oeste,Capinzal,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
1250301,,,,,,10702,,FLOW BIKE REPAIR,Rota 5 - Parana 2,Pato Branco,PR,Ditrator
,23518,,,,,11764,,FLÁVIA SIMONE IMINOSKI DOMIT,Rota D - Paraná,Porto União,SC,
,10139,618,1939,,,10197,,FONTANA TRATORPECAS LTDA - EPP,Rota C - Litoral Sul,Lages,SC,Casa Dos Rolamentos - Romar Mann - Indagril
819001,,,,,,10579,,FORESTI TRATORES E AUTOMOVEIS LTDA,Rota 2 - São Miguel,Maravilha,SC,Ditrator
683701,,,,,,11754,,FORMAGINI MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA. - ME,Rota A - Oeste,Xavantina,SC,
,,,,,,11077,,FORMAQUINAS COM DE PECAS E SERVICO,Rota C - Litoral Sul,Joaçaba,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,4040,,,11762,,FORTHE AGROPECUARIA L TOA ,Rota A - Oeste,Lebon Régis,SC,
,,,,,,11078,,FORTY PECAS E EQUIPAMENTOS,Rota C - Litoral Sul,Luzerna,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,10140,,,,,10939,,FRAI PECAS LTDA,Rota A - Oeste,Fraiburgo,SC,Casa Dos Rolamentos
,22847,,,,,11767,,FRANCIELI DALLASTRA,Rota 4 - Parana 1,Francisco Beltrão,PR,
1171701,,,,,,10714,,FRANCIS WILFRIED ZIMMER 07787911905,Rota A - Oeste,Jaborá,SC,Ditrator
,,,,,,11079,,FRESH CAR PRODUTOS AUTOMOTIVOS,Rota C - Litoral Sul,Joaçaba,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
586201,10141,,,,,10093,,FUNDICAO LIDER LTDA - ME,Rota 4 - Parana 1,Francisco Beltrão,PR,Ditrator - Casa Dos Rolamentos
,,,,,,11511,,Fae Bioenergia,Rota A - Oeste,Ouro,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11476,,Fast Industria,Rota A - Oeste,Capinzal,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11654,,Fazenda São Alguma Coisa,Rota C - Litoral Sul,Campo Belo do Sul,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11561,,Fb Lombardi Ferragens,Rota 4 - Parana 1,Maringá,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11552,,Femap Esquadtias,Rota C - Litoral Sul,Joaçaba,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11216,,Ferragem Sao Carlos,Rota 1 - Itapiranga,São Carlos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11166,,Ferragens Fianco,Rota 5 - Parana 2,Pato Branco,PR,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11280,,Ferrari Peças E Maquinas,Rota 2 - São Miguel,Descanso,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11218,,Fersan Comercio De Auto Peças E Trasportes,Rota 1 - Itapiranga,São Carlos,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11533,,Fezer,Rota A - Oeste,Caçador,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11499,,Fg Indmaq,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11336,,Finestra Moveis,Rota 2 - São Miguel,Saudades,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
,,,,,,11498,,Fitmaq,Rota 0 - Chapecó,Chapecó,SC,Ditrator - Casa Dos Rolamentos - Romar Mann - Indagril - Primus - Agromann
